id,label,latitude,longitude
1,Lycée de Poisy,45.925899799999996,6.070439693234674
2,Poisy Collège,45.92085525,6.059940930793582
3,Poisy,45.9215917,6.0631918
5,Route de Monod,45.92021,6.0646275
6,Couloutte,45.9190773,6.0704277
7,Vernod,45.9195249,6.0756388
8,Sous Vernod,45.9213449,6.0799744
9,Creusettes,45.9176895,6.0835551
10,Chantebise,45.9170879,6.087894
11,Meythet le Rabelais,45.9158617,6.090475344103575
12,Meythet Centre,45.9145516,6.0919408
13,Meythet S.N.R.,45.9134086,6.093847803519408
14,Antoine Berthod,45.911426,6.0953333
15,Pont de Tasset,45.9085293,6.0980467
16,Papeteries,45.9080991,6.103066
17,Chorus,45.9076592,6.1065542
18,Mosinges,45.907162,6.1093947
19,4 chemins,45.9064507,6.1137546
20,Rue de Seyssel,45.905868,6.1173049
21,Capucins,45.9053808,6.1203323
22,Courier,45.904155,6.1245312
23,Paul Grimault,45.9027099,6.1233431
24,Gare Quai Nord,45.9014749,6.1213423
25,Sommeiller,45.9020942,6.1246641
26,Bonlieu,45.9019149,6.1269408
27,Gare Quai Sud,45.9009544,6.121795826475125
28,Vaugelas,45.9014261,6.125269
29,Palais de Justice,45.9030729,6.1297355
30,Parmelan,45.9051022,6.1330206
31,Henri Dunant,45.9073505,6.1351709
32,Montremont,45.9108096,6.1385836
33,Contamines,45.9123909,6.1415308
34,Buisson,45.9144156,6.1449975
35,Vignières,45.915426,6.1470144
36,Pesse,45.9165186,6.1496342
37,Campus,45.9193905,6.1590604
38,Rampignon,45.9209689,6.1643878
39,Entrée Parc,45.9231647,6.1652760811439205
40,Pré Félin,45.9247714,6.1661294
41,Bouvières,45.9271041,6.1667232
42,Pré de Challes,45.92697725,6.165157389304813
43,Pré Paillard,45.92888055,6.162798700547945
44,Pré Faucon,45.9311389,6.1652819
45,Parc des Glaisins,45.9304141,6.1686287
46,Pringy,45.9432647,6.1226883
47,Pringy Gare,45.9388039,6.1220898
48,La Salle Pringy,45.9360564,6.1230448
49,Park Nord,45.9334931,6.1206709
50,Hôpital,45.93400335,6.116768697109681
51,Hopital Porte Semnoz,45.932564,6.1188722
52,Hôpital Fier,45.9304612,6.1191326
53,Vire Moulin,45.9290943,6.1211909
54,Colombière,45.9258519,6.1238269
55,Genève Fier,45.9227405,6.123915
56,Genève Bellevue,45.9198256,6.1238277
57,Genève Vernet,45.9164236,6.1238257
58,Bel Air,45.9140479,6.1239847
59,Église des Fins,45.9112875,6.1238035
60,Alpins,45.9097803,6.1237993
61,Galbert,45.9077679,6.123795
62,Gare Quai Ouest,45.9012357,6.1210533
